Date,Value
2019-12-23,304845.0
2019-12-22,281070.0
2019-12-21,311118.0
2019-12-20,332657.0
2019-12-19,319555.0
2019-12-18,314249.0
2019-12-17,319254.0
2019-12-16,327085.0
2019-12-15,263441.0
2019-12-14,293496.0
2019-12-13,322888.0
2019-12-12,311795.0
2019-12-11,291248.0
2019-12-10,320064.0
2019-12-09,313629.0
2019-12-08,278853.0
2019-12-07,285284.0
2019-12-06,315386.0
2019-12-05,311468.0
2019-12-04,337284.0
2019-12-03,336512.0
2019-12-02,314730.0
2019-12-01,274621.0
2019-11-30,277458.0
2019-11-29,311290.0
2019-11-28,309623.0
2019-11-27,317597.0
2019-11-26,321310.0
2019-11-25,279470.0
2019-11-24,267368.0
2019-11-23,306424.0
2019-11-22,310539.0
2019-11-21,323954.0
2019-11-20,321086.0
2019-11-19,327630.0
2019-11-18,304671.0
2019-11-17,264370.0
2019-11-16,283468.0
2019-11-15,325145.0
2019-11-14,350023.0
2019-11-13,318945.0
2019-11-12,301382.0
2019-11-11,326707.0
2019-11-10,299712.0
2019-11-09,306163.0
2019-11-08,311441.0
2019-11-07,324487.0
2019-11-06,314698.0
2019-11-05,332839.0
2019-11-04,310979.0
2019-11-03,294367.0
2019-11-02,284443.0
2019-11-01,316187.0
2019-10-31,293779.0
2019-10-30,314163.0
2019-10-29,307953.0
2019-10-28,309611.0
2019-10-27,256253.0
2019-10-26,305722.0
2019-10-25,328598.0
2019-10-24,303843.0
2019-10-23,349320.0
2019-10-22,341464.0
2019-10-21,351791.0
2019-10-20,289796.0
2019-10-19,304736.0
2019-10-18,339390.0
2019-10-17,334105.0
2019-10-16,338473.0
2019-10-15,339698.0
2019-10-14,304466.0
2019-10-13,279487.0
2019-10-12,301693.0
2019-10-11,345425.0
2019-10-10,345048.0
2019-10-09,311049.0
2019-10-08,336354.0
2019-10-07,328803.0
2019-10-06,277613.0
2019-10-05,326683.0
2019-10-04,337222.0
2019-10-03,326514.0
2019-10-02,326557.0
2019-10-01,337244.0
2019-09-30,311396.0
2019-09-29,285542.0
2019-09-28,314433.0
2019-09-27,303903.0
2019-09-26,355775.0
2019-09-25,347747.0
2019-09-24,353263.0
2019-09-23,288149.0
2019-09-22,318713.0
2019-09-21,336013.0
2019-09-20,340929.0
2019-09-19,346110.0
2019-09-18,363185.0
2019-09-17,343778.0
2019-09-16,347341.0
2019-09-15,274146.0
2019-09-14,299894.0
2019-09-13,308856.0
2019-09-12,335868.0
2019-09-11,338276.0
2019-09-10,339858.0
2019-09-09,316852.0
2019-09-08,288507.0
2019-09-07,314429.0
2019-09-06,365531.0
2019-09-05,352410.0
2019-09-04,324741.0
2019-09-03,370631.0
2019-09-02,327248.0
2019-09-01,285468.0
2019-08-31,342195.0
2019-08-30,349200.0
2019-08-29,346734.0
2019-08-28,341200.0
2019-08-27,325984.0
2019-08-26,318219.0
2019-08-25,288934.0
2019-08-24,304481.0
2019-08-23,340220.0
2019-08-22,322453.0
2019-08-21,308808.0
2019-08-20,333304.0
2019-08-19,330473.0
2019-08-18,276365.0
2019-08-17,288256.0
2019-08-16,323625.0
2019-08-15,355644.0
2019-08-14,359997.0
2019-08-13,370747.0
2019-08-12,297446.0
2019-08-11,273280.0
2019-08-10,304138.0
2019-08-09,341125.0
2019-08-08,336181.0
2019-08-07,370909.0
2019-08-06,368348.0
2019-08-05,339136.0
2019-08-04,298805.0
2019-08-03,327588.0
2019-08-02,349556.0
2019-08-01,335943.0
2019-07-31,361337.0
2019-07-30,328375.0
2019-07-29,333619.0
2019-07-28,272974.0
2019-07-27,283892.0
2019-07-26,319612.0
2019-07-25,336536.0
2019-07-24,295589.0
2019-07-23,320352.0
2019-07-22,319399.0
2019-07-21,283934.0
2019-07-20,323002.0
2019-07-19,299891.0
2019-07-18,315745.0
2019-07-17,324892.0
2019-07-16,363337.0
2019-07-15,349111.0
2019-07-14,303287.0
2019-07-13,304545.0
2019-07-12,360899.0
2019-07-11,325776.0
2019-07-10,315664.0
2019-07-09,365588.0
2019-07-08,378966.0
2019-07-07,313273.0
2019-07-06,348674.0
2019-07-05,378453.0
2019-07-04,370704.0
2019-07-03,397554.0
2019-07-02,373409.0
2019-07-01,336862.0
2019-06-30,330731.0
2019-06-29,356682.0
2019-06-28,407094.0
2019-06-27,361050.0
2019-06-26,399624.0
2019-06-25,361385.0
2019-06-24,388342.0
2019-06-23,380088.0
2019-06-22,354075.0
2019-06-21,337741.0
2019-06-20,330103.0
2019-06-19,401032.0
2019-06-18,394843.0
2019-06-17,321072.0
2019-06-16,295254.0
2019-06-15,330954.0
2019-06-14,364383.0
2019-06-13,364373.0
2019-06-12,328464.0
2019-06-11,340449.0
2019-06-10,353629.0
2019-06-09,300917.0
2019-06-08,294369.0
2019-06-07,350011.0
2019-06-06,364526.0
2019-06-05,372948.0
2019-06-04,374763.0
2019-06-03,294009.0
2019-06-02,301003.0
2019-06-01,332092.0
2019-05-31,298997.0
